DataHora,Bateria (Volts),ContAguaSolo100 (m³),ContAguaSolo200 (m³),ContAguaSolo400 (m³),CorrPSol (Logico),DirVelVentoMax (oNV),DirVento (oNV),Pluvio (mm),PressaoAtm (mB),RadSolAcum (MJ/m²),TempAr (oC),TempMax (oC),TempMin (oC),TempSolo100 (oC),TempSolo200 (oC),TempSolo400 (oC),UmidInt (%),UmidRel (%),VelVento10m (m/s),VelVentoMax (m/s)
2015-12-02 12:00:00,13.9,0,0,0,1,90,50,0.25,927,2.4,25.5,50,50,26,26,27,75,76,3.4,51.1
2015-12-02 09:00:00,,,0,,,,80,0.25,927,0.1,20,,,,,,,99,1.3,
2015-12-02 06:00:00,12.4,0,0,0,0,100,240,0.25,927,0,19.5,27,18.5,26,26,27,40,99,0.9,3.2
2015-12-02 03:00:00,,,0,,,,310,0.25,928,0,19,,,,,,,99,1.4,
2015-12-02 00:00:00,12.5,0,0,0,0,0,350,0.25,929,0,19.5,27,18.5,26.5,26,27,45,99,2.5,11.1
2015-12-01 21:00:00,13.9,0.93,0.93,0.93,1,630,360,0.25,928,1.4,20,27,50,50,50,50,75,98,8.2,51.1
2015-12-01 18:00:00,12.9,0,0,0,1,300,350,0.25,928,4.6,21.5,27,18.5,26.5,26,27,50,90,8.3,15.7
2015-12-01 15:00:00,12.8,0,0,0,1,20,10,0.25,929,6.4,27,28,18.5,26,26,27,45,74,5.7,13.2
2015-12-01 12:00:00,12.9,0,0,0,1,0,60,0.25,930,1.5,21,28,18.5,26,26,27,45,88,1.8,10.5
2015-12-01 09:00:00,,,0,,,,350,0,929,0,18.5,,,,,,,99,4.7,
2015-12-01 06:00:00,12.4,0,0,0,0,20,340,0,928,0,18.5,28,18.5,26,26,27,40,99,7.9,19
2015-12-01 03:00:00,,,0,,,,350,0,929,0,18.5,,,,,,,99,8.7,
2015-12-01 00:00:00,12.5,0,0,0,0,360,0,181.5,929,0,19.5,28,19,26.5,26,27,45,99,7.8,21
2015-11-30 21:00:00,12.6,0,0,0,0,60,10,181.25,927,0.9,20,28,19,26.5,26,27,45,98,7.9,17.5
